TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL
7538213,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Fangorn, Tree Shepherd (Showcase Scrolls)",,617,R,Lightly Played Foil,0.34,0,0,0,1,1,0.34,,,
7447402,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Faramir, Field Commander (Showcase Scrolls)",,465,U,Lightly Played Foil,0.11,0,0,0,1,1,0.11,,,
7186550,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Faramir, Prince of Ithilien (Showcase)",,319,R,Lightly Played Foil,0.15,0,0,0,1,1,0.15,,,
7539973,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Fear, Fire, Foes! (Showcase Scrolls)",,576,U,Lightly Played Foil,0.2,0,0,0,1,1,0.2,,,
7447502,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Fog on the Barrow-Downs (Showcase Scrolls),,467,C,Lightly Played Foil,0.17,0,0,0,1,1,0.17,,,
7542883,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Foray of Orcs (Showcase Scrolls),,579,U,Lightly Played Foil,0.1,0,0,0,3,3,0.1,,,
7177843,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Friendly Rivalry,,204,U,Lightly Played Foil,0.11,0,0,0,2,2,0.11,,,
7538193,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Friendly Rivalry (Showcase Scrolls),,655,U,Lightly Played Foil,0.1,0,0,0,4,4,0.1,,,
7172456,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Frodo Baggins,,205,U,Lightly Played Foil,0.15,0,0,0,2,2,0.15,,,
7173916,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Frodo Baggins (Showcase),,320,U,Lightly Played Foil,0.12,0,0,0,1,1,0.12,,,
